Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah)
1,02/03/2022 11:08:55.527,20.001,20.001,1,1,0.00000,1.25480,0.00000,0.00000,0.00000,0.00000,0.00000,,0.01824176,,,
2,02/03/2022 11:09:13.328,37.803,37.803,1,1,0.00000,1.26489,0.00000,0.00000,0.00000,0.00000,0.00000,,0.01851029,,,
3,02/03/2022 11:09:33.329,57.803,57.803,1,1,0.00000,1.26886,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0182825,,,
4,02/03/2022 11:09:49.639,74.114,74.114,1,1,0.00000,1.27887,0.00000,0.00000,0.00000,0.00000,0.00000,,0.009411143,,,
5,02/03/2022 11:10:09.641,94.115,94.115,1,1,0.00000,1.28188,0.00000,0.00000,0.00000,0.00000,0.00000,,0.01402861,,,
6,02/03/2022 11:10:20.052,104.527,104.527,1,1,0.00000,1.29201,0.00000,0.00000,0.00000,0.00000,0.00000,,0.009740781,,,
7,02/03/2022 11:10:40.053,124.527,124.527,1,1,0.00000,1.29723,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.02196371,,0,
8,02/03/2022 11:10:56.392,140.866,140.866,1,1,0.00000,1.30752,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0006457969,,,
9,02/03/2022 11:11:16.393,160.867,160.867,1,1,0.00000,1.31341,0.00000,0.00000,0.00000,0.00000,0.00000,,0.02388446,,,
10,02/03/2022 11:11:34.650,179.124,179.124,1,1,0.00000,1.32360,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.0389417,,,
11,02/03/2022 11:11:54.652,199.126,199.126,1,1,0.00000,1.32816,0.00000,0.00000,0.00000,0.00000,0.00000,,0.01995957,,,
