Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah)
1,03/04/2022 17:24:21.730,20.000,20.000,1,1,0.00000,3.28000,0.00000,0.00000,0.00000,0.00000,0.00000,,9.831369E-05,,,
2,03/04/2022 17:24:41.731,40.001,40.001,1,1,0.00000,3.28174,0.00000,0.00000,0.00000,0.00000,0.00000,,8.838698E-05,,,
3,03/04/2022 17:25:01.731,60.001,60.001,1,1,0.00000,3.28334,0.00000,0.00000,0.00000,0.00000,0.00000,,8.442823E-05,,,
4,03/04/2022 17:25:21.732,80.002,80.002,1,1,0.00000,3.28485,0.00000,0.00000,0.00000,0.00000,0.00000,,8.084732E-05,,,
5,03/04/2022 17:25:41.733,100.003,100.003,1,1,0.00000,3.28635,0.00000,0.00000,0.00000,0.00000,0.00000,,6.815854E-05,,,
6,03/04/2022 17:26:01.733,120.003,120.003,1,1,0.00000,3.28770,0.00000,0.00000,0.00000,0.00000,0.00000,,6.555237E-05,,,
7,03/04/2022 17:26:21.733,140.003,140.003,1,1,0.00000,3.28899,0.00000,0.00000,0.00000,0.00000,0.00000,,6.077026E-05,,0,0
8,03/04/2022 17:26:41.734,160.004,160.004,1,1,0.00000,3.29020,0.00000,0.00000,0.00000,0.00000,0.00000,,5.397814E-05,,,
9,03/04/2022 17:27:01.736,180.006,180.006,1,1,0.00000,3.29137,0.00000,0.00000,0.00000,0.00000,0.00000,,4.946968E-05,,,
10,03/04/2022 17:27:21.736,200.006,200.006,1,1,0.00000,3.29249,0.00000,0.00000,0.00000,0.00000,0.00000,,5.832484E-05,,,
11,03/04/2022 17:27:41.737,220.007,220.007,1,1,0.00000,3.29358,0.00000,0.00000,0.00000,0.00000,0.00000,,4.401695E-05,,,
12,03/04/2022 17:28:01.739,240.009,240.009,1,1,0.00000,3.29462,0.00000,0.00000,0.00000,0.00000,0.00000,,5.693708E-05,,,
13,03/04/2022 17:28:21.739,260.009,260.009,1,1,0.00000,3.29561,0.00000,0.00000,0.00000,0.00000,0.00000,,4.812665E-05,,0,
14,03/04/2022 17:28:41.740,280.010,280.010,1,1,0.00000,3.29652,0.00000,0.00000,0.00000,0.00000,0.00000,,4.449406E-05,,,
15,03/04/2022 17:29:01.741,300.011,300.011,1,1,0.00000,3.29747,0.00000,0.00000,0.00000,0.00000,0.00000,,5.812678E-05,,,
16,03/04/2022 17:29:21.741,320.011,320.011,1,1,0.00000,3.29830,0.00000,0.00000,0.00000,0.00000,0.00000,,5.693755E-05,,,
17,03/04/2022 17:29:41.743,340.013,340.013,1,1,0.00000,3.29922,0.00000,0.00000,0.00000,0.00000,0.00000,,4.203924E-05,,,
18,03/04/2022 17:30:01.745,360.015,360.015,1,1,0.00000,3.30002,0.00000,0.00000,0.00000,0.00000,0.00000,,3.987078E-05,,,
19,03/04/2022 17:30:21.745,380.015,380.015,1,1,0.00000,3.30082,0.00000,0.00000,0.00000,0.00000,0.00000,,3.259783E-05,,0,
20,03/04/2022 17:30:41.746,400.016,400.016,1,1,0.00000,3.30154,0.00000,0.00000,0.00000,0.00000,0.00000,,3.891984E-05,,,
21,03/04/2022 17:31:01.746,420.016,420.016,1,1,0.00000,3.30232,0.00000,0.00000,0.00000,0.00000,0.00000,,4.484337E-05,,,
22,03/04/2022 17:31:21.746,440.016,440.016,1,1,0.00000,3.30302,0.00000,0.00000,0.00000,0.00000,0.00000,,4.437257E-05,,,
23,03/04/2022 17:31:41.747,460.017,460.017,1,1,0.00000,3.30376,0.00000,0.00000,0.00000,0.00000,0.00000,,3.358342E-05,,,
24,03/04/2022 17:32:01.748,480.018,480.018,1,1,0.00000,3.30439,0.00000,0.00000,0.00000,0.00000,0.00000,,3.220057E-05,,,
25,03/04/2022 17:32:21.749,500.019,500.019,1,1,0.00000,3.30508,0.00000,0.00000,0.00000,0.00000,0.00000,,3.137295E-05,,0,
26,03/04/2022 17:32:41.751,520.021,520.021,1,1,0.00000,3.30570,0.00000,0.00000,0.00000,0.00000,0.00000,,4.389842E-05,,,
27,03/04/2022 17:33:01.752,540.022,540.022,1,1,0.00000,3.30630,0.00000,0.00000,0.00000,0.00000,0.00000,,2.698907E-05,,,
28,03/04/2022 17:33:21.753,560.023,560.023,1,1,0.00000,3.30697,0.00000,0.00000,0.00000,0.00000,0.00000,,3.53242E-05,,,
29,03/04/2022 17:33:41.754,580.024,580.024,1,1,0.00000,3.30752,0.00000,0.00000,0.00000,0.00000,0.00000,,1.947984E-05,,,
30,03/04/2022 17:34:01.754,600.024,600.024,1,1,0.00000,3.30808,0.00000,0.00000,0.00000,0.00000,0.00000,,3.350662E-05,,,
31,03/04/2022 17:34:21.756,620.026,620.026,1,1,0.00000,3.30869,0.00000,0.00000,0.00000,0.00000,0.00000,,3.433411E-05,,0,
32,03/04/2022 17:34:41.756,640.026,640.026,1,1,0.00000,3.30918,0.00000,0.00000,0.00000,0.00000,0.00000,,3.397852E-05,,,
33,03/04/2022 17:35:01.757,660.027,660.027,1,1,0.00000,3.30974,0.00000,0.00000,0.00000,0.00000,0.00000,,3.015006E-05,,,
34,03/04/2022 17:35:21.758,680.028,680.028,1,1,0.00000,3.31023,0.00000,0.00000,0.00000,0.00000,0.00000,,2.647317E-05,,,
35,03/04/2022 17:35:41.758,700.028,700.028,1,1,0.00000,3.31075,0.00000,0.00000,0.00000,0.00000,0.00000,,2.15742E-05,,,
36,03/04/2022 17:36:01.760,720.030,720.030,1,1,0.00000,3.31127,0.00000,0.00000,0.00000,0.00000,0.00000,,3.263518E-05,,,
37,03/04/2022 17:36:21.760,740.030,740.030,1,1,0.00000,3.31174,0.00000,0.00000,0.00000,0.00000,0.00000,,2.525018E-05,,0,
38,03/04/2022 17:36:41.760,760.030,760.030,1,1,0.00000,3.31226,0.00000,0.00000,0.00000,0.00000,0.00000,,2.398251E-05,,,
39,03/04/2022 17:37:01.761,780.031,780.031,1,1,0.00000,3.31272,0.00000,0.00000,0.00000,0.00000,0.00000,,3.421813E-05,,,
40,03/04/2022 17:37:21.761,800.031,800.031,1,1,0.00000,3.31317,0.00000,0.00000,0.00000,0.00000,0.00000,,2.951586E-05,,,
41,03/04/2022 17:37:41.763,820.033,820.033,1,1,0.00000,3.31364,0.00000,0.00000,0.00000,0.00000,0.00000,,2.710582E-05,,,
42,03/04/2022 17:38:01.763,840.033,840.033,1,1,0.00000,3.31403,0.00000,0.00000,0.00000,0.00000,0.00000,,2.639612E-05,,,
43,03/04/2022 17:38:21.764,860.034,860.034,1,1,0.00000,3.31445,0.00000,0.00000,0.00000,0.00000,0.00000,,4.018157E-05,,0,
