C,t[mu],Qa[mAh/cm2],Qm[mAh/gAM],Source,Cathode
0.1,108,2.5215,,H. Zheng (2012),LFP
0.2,108,2.42446,,H. Zheng (2012),LFP
0.5,108,2.31299,,H. Zheng (2012),LFP
1,108,2.20161,,H. Zheng (2012),LFP
2,108,1.98808,,H. Zheng (2012),LFP
5,108,1.0827,,H. Zheng (2012),LFP
10,108,0.44264,,H. Zheng (2012),LFP
20,108,0.18252,,H. Zheng (2012),LFP
0.1,77,1.78853,,H. Zheng (2012),LFP
0.2,77,1.73987,,H. Zheng (2012),LFP
0.5,77,1.65171,,H. Zheng (2012),LFP
1,77,1.57975,,H. Zheng (2012),LFP
2,77,1.49525,,H. Zheng (2012),LFP
5,77,1.27267,,H. Zheng (2012),LFP
10,77,0.69175,,H. Zheng (2012),LFP
20,77,0.22374,,H. Zheng (2012),LFP
0.1,50,1.1792,,H. Zheng (2012),LFP
0.2,50,1.13593,,H. Zheng (2012),LFP
0.5,50,1.08539,,H. Zheng (2012),LFP
1,50,1.02957,,H. Zheng (2012),LFP
2,50,0.96836,,H. Zheng (2012),LFP
5,50,0.87661,,H. Zheng (2012),LFP
10,50,0.75806,,H. Zheng (2012),LFP
20,50,0.39041,,H. Zheng (2012),LFP
0.1,25,0.57526,,H. Zheng (2012),LFP
0.2,25,0.56783,,H. Zheng (2012),LFP
0.5,25,0.56568,,H. Zheng (2012),LFP
1,25,0.54928,,H. Zheng (2012),LFP
2,25,0.53289,,H. Zheng (2012),LFP
5,25,0.4931,,H. Zheng (2012),LFP
10,25,0.45161,,H. Zheng (2012),LFP
20,25,0.40654,,H. Zheng (2012),LFP
50,25,0.20726,,H. Zheng (2012),LFP
0.1,10,0.24193,,H. Zheng (2012),LFP
1,10,0.23566,,H. Zheng (2012),LFP
2,10,0.23539,,H. Zheng (2012),LFP
5,10,0.22787,,H. Zheng (2012),LFP
10,10,0.22222,,H. Zheng (2012),LFP
20,10,0.20582,,H. Zheng (2012),LFP
30,10,0.20387,,H. Zheng (2012),LFP
40,10,0.1948,,H. Zheng (2012),LFP
50,10,0.18754,,H. Zheng (2012),LFP
60,10,0.1821,,H. Zheng (2012),LFP
100,10,0.15143,,H. Zheng (2012),LFP
200,10,0.07231,,H. Zheng (2012),LFP
300,10,0.02376,,H. Zheng (2012),LFP
0.1,24,0.83829,,H. Zheng (2012),NMC
0.2,24,0.82277,,H. Zheng (2012),NMC
0.5,24,0.80207,,H. Zheng (2012),NMC
1,24,0.7762,,H. Zheng (2012),NMC
2,24,0.72962,,H. Zheng (2012),NMC
5,24,0.66753,,H. Zheng (2012),NMC
10,24,0.57956,,H. Zheng (2012),NMC
20,24,0.28978,,H. Zheng (2012),NMC
50,24,0.07762,,H. Zheng (2012),NMC
0.1,50,1.72316,,H. Zheng (2012),NMC
0.2,50,1.68693,,H. Zheng (2012),NMC
0.5,50,1.63001,,H. Zheng (2012),NMC
1,50,1.60414,,H. Zheng (2012),NMC
2,50,1.511,,H. Zheng (2012),NMC
5,50,1.24709,,H. Zheng (2012),NMC
