C-rate[1/h],Qa[mAh/cm2],Thickness[um]
0.1,2.222,70
0.2,2.2073,70
0.3,2.2059,70
1,2.1331,70
1.795,2.0794,70
2.6841,1.911,70
3.5979,1.4863,70
4.4986,0.6123,70
0.1,3.5514,105
0.2,3.5495,105
0.3,3.529,105
0.88913,3.3205,105
1.3492,2.857,105
2.0029,2.0981,105
2.1764,1.674,105
0.1,4.8229,140
0.2,4.8536,140
0.3,4.8585,140
0.55283,4.7668,140
0.91698,4.3801,140
1.1137,4.007,140
1.2736,3.3773,140
0.1,6.2872,175
0.2,6.2662,175
0.3,6.2458,175
0.45333,6.1417,175
0.6793,5.5625,175
0.77424,5.0934,175
0.80973,4.7593,175
