Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah)
1,02/10/2022 18:38:14.733,20.000,20.000,1,1,0.00000,2.99217,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001414029,,,
2,02/10/2022 18:38:34.734,40.001,40.001,1,1,0.00000,2.99565,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001697505,,,
3,02/10/2022 18:38:54.735,60.002,60.002,1,1,0.00000,2.99932,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0002175213,,,
4,02/10/2022 18:39:14.737,80.004,80.004,1,1,0.00000,3.00260,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001571841,,,
5,02/10/2022 18:39:34.737,100.004,100.004,1,1,0.00000,3.00589,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001899544,,,
6,02/10/2022 18:39:54.738,120.005,120.005,1,1,0.00000,3.00942,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0002155089,,,
7,02/10/2022 18:40:14.739,140.006,140.006,1,1,0.00000,3.01286,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001637,,0,
8,02/10/2022 18:40:34.740,160.007,160.007,1,1,0.00000,3.01624,0.00000,0.00000,0.00000,0.00000,0.00000,,0.000166054,,,
9,02/10/2022 18:40:54.740,180.007,180.007,1,1,0.00000,3.01986,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001543653,,,
10,02/10/2022 18:41:14.741,200.008,200.008,1,1,0.00000,3.02321,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001806496,,,
11,02/10/2022 18:41:34.741,220.008,220.008,1,1,0.00000,3.02274,0.00000,0.00000,0.00000,0.00000,0.00000,,1.114253E-05,,,
12,02/10/2022 18:41:54.741,240.008,240.008,1,1,0.00000,3.02489,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001182241,,,
13,02/10/2022 18:42:14.741,260.008,260.008,1,1,0.00000,3.02815,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001641523,,0,
14,02/10/2022 18:42:34.743,280.010,280.010,1,1,0.00000,3.03139,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001476234,,,
15,02/10/2022 18:42:54.743,300.010,300.010,1,1,0.00000,3.03373,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001253892,,,
16,02/10/2022 18:43:14.744,320.011,320.011,1,1,0.00000,3.03593,0.00000,0.00000,0.00000,0.00000,0.00000,,9.881323E-05,,,
17,02/10/2022 18:43:34.744,340.011,340.011,1,1,0.00000,3.03792,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001323116,,,
18,02/10/2022 18:43:54.744,360.011,360.011,1,1,0.00000,3.04065,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001294495,,,
19,02/10/2022 18:44:14.744,380.011,380.011,1,1,0.00000,3.04181,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001524359,,0,
20,02/10/2022 18:44:34.745,400.012,400.012,1,1,0.00000,3.04258,0.00000,0.00000,0.00000,0.00000,0.00000,,4.745454E-05,,,
21,02/10/2022 18:44:42.937,408.204,408.204,1,1,0.00000,3.03235,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.005475927,,,
22,02/10/2022 18:44:43.301,408.568,408.568,1,1,0.00000,3.02232,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.02795041,,,
23,02/10/2022 18:44:45.357,410.624,410.624,1,1,0.00000,3.01229,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.003608846,,,
24,02/10/2022 18:44:47.659,412.926,412.926,1,1,0.00000,3.00227,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.004925143,,,
25,02/10/2022 18:45:03.551,428.818,428.818,1,1,0.00000,2.99227,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.0004214449,,,0
26,02/10/2022 18:45:23.552,448.819,448.819,1,1,0.00000,2.98816,0.00000,0.00000,0.00000,0.00000,0.00000,,-0.0001660516,,,
27,02/10/2022 18:45:43.553,468.820,468.820,1,1,0.00000,2.98596,0.00000,0.00000,0.00000,0.00000,0.00000,,-9.150348E-05,,,
28,02/10/2022 18:46:03.553,488.820,488.820,1,1,0.00000,2.98497,0.00000,0.00000,0.00000,0.00000,0.00000,,-5.800439E-05,,0,
29,02/10/2022 18:46:23.555,508.822,508.822,1,1,0.00000,2.98444,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.030586E-05,,,
30,02/10/2022 18:46:43.556,528.823,528.823,1,1,0.00000,2.98485,0.00000,0.00000,0.00000,0.00000,0.00000,,1.529033E-05,,,
31,02/10/2022 18:47:03.557,548.824,548.824,1,1,0.00000,2.98544,0.00000,0.00000,0.00000,0.00000,0.00000,,4.947337E-05,,,0
32,02/10/2022 18:47:23.558,568.825,568.825,1,1,0.00000,2.98708,0.00000,0.00000,0.00000,0.00000,0.00000,,0.000100394,,,
33,02/10/2022 18:47:43.558,588.825,588.825,1,1,0.00000,2.98890,0.00000,0.00000,0.00000,0.00000,0.00000,,9.710787E-05,,,
34,02/10/2022 18:48:03.559,608.826,608.826,1,1,0.00000,2.99095,0.00000,0.00000,0.00000,0.00000,0.00000,,0.0001177082,,0,
